iter	RMSE
0	8.413642351
1	8.307903982
2	8.209114546
3	8.128929486
4	8.052028919
5	7.983931414
6	7.918127498
7	7.865481324
8	7.816254914
9	7.769476969
10	7.724963452
11	7.687157348
12	7.650663672
13	7.618586044
14	7.587398983
15	7.559391954
16	7.533829571
17	7.510492862
18	7.48655548
19	7.467807286
20	7.449894073
21	7.432984675
22	7.418891609
23	7.402126755
24	7.389892535
25	7.377159771
26	7.363712238
27	7.35056426
28	7.339046018
29	7.327861182
30	7.318577166
31	7.308424954
32	7.296714645
33	7.287896237
34	7.280345365
35	7.270820645
36	7.262765372
37	7.254542654
38	7.24558203
39	7.238549287
40	7.231484233
41	7.225134879
42	7.217683513
43	7.211531823
44	7.204875876
45	7.200313041
46	7.195180393
47	7.188930681
48	7.183198654
49	7.178756407
50	7.173431087
51	7.168500319
52	7.163230505
53	7.158456099
54	7.154855249
55	7.150378084
56	7.146468685
57	7.142255344
58	7.136867424
59	7.132783437
60	7.128341579
61	7.124183117
62	7.120995494
63	7.116690011
64	7.113545004
65	7.109977946
66	7.105433597
67	7.100921965
68	7.098727347
69	7.094964908
70	7.090643615
71	7.087554994
72	7.083248961
73	7.079763012
74	7.076948297
75	7.074477236
76	7.070318809
77	7.06693366
78	7.063613777
79	7.060187802
80	7.057439736
81	7.053836121
82	7.05043222
83	7.047934185
84	7.044851605
85	7.042696807
86	7.039878968
87	7.037041674
88	7.034625736
89	7.031312669
90	7.028281562
91	7.024530483
92	7.021741621
93	7.019300391
94	7.016429883
95	7.013984565
96	7.011387699
97	7.00829162
98	7.005941187
99	7.003467149
100	7.001047788
101	6.999697746
102	6.997334673
103	6.995049345
104	6.991792662
105	6.989759237
106	6.987718629
107	6.985384509
108	6.983777537
109	6.980701667
110	6.978320503
111	6.974999583
112	6.973051286
113	6.971102067
114	6.96851974
115	6.965821171
116	6.963802838
117	6.961247173
118	6.958012699
119	6.956062649
120	6.952949157
121	6.950883359
122	6.948735203
123	6.946106031
124	6.944366487
125	6.942489338
126	6.939960908
127	6.93613785
128	6.934149169
129	6.931073493
130	6.928454772
131	6.926649195
132	6.924347316
133	6.922416967
134	6.919958223
135	6.918188311
136	6.915910954
137	6.913027089
138	6.910641797
139	6.908440044
140	6.906748156
141	6.903938226
142	6.901254284
143	6.899247195
144	6.895581009
145	6.892649356
146	6.890349772
147	6.887080522
148	6.885016929
149	6.881891251
150	6.879885033
151	6.877693186
152	6.875169934
153	6.873731208
154	6.87161717
155	6.86991111
156	6.867134684
157	6.863548151
158	6.860898876
159	6.858012468
160	6.855830492
161	6.85301305
162	6.85052828
163	6.848087458
164	6.846664384
165	6.843436603
166	6.840732702
167	6.838664293
168	6.835720158
169	6.834211831
170	6.830640303
171	6.828297637
172	6.82549585
173	6.822413982
174	6.8207723
175	6.819368235
176	6.816053307
177	6.81462013
178	6.811965744
179	6.808593543
180	6.806634464
181	6.803540439
182	6.801232387
183	6.798705198
184	6.795957522
185	6.794785725
186	6.792686774
187	6.790161302
188	6.788404178
189	6.786140144
190	6.783400118
191	6.781816476
192	6.779051678
193	6.776338399
194	6.775123418
195	6.773091763
196	6.771231592
197	6.768693116
198	6.767204925
199	6.765843372
200	6.763097712
201	6.761673928
202	6.759123038
203	6.758065353
204	6.756692712
205	6.753900966
206	6.750798648
207	6.748327569
208	6.745821016
209	6.744605769
210	6.74225764
211	6.739669643
212	6.737735669
213	6.735512874
214	6.733274082
215	6.73197432
216	6.729202251
217	6.726047533
218	6.724920602
219	6.723132955
220	6.720209753
221	6.717601697
222	6.715224289
223	6.71435259
224	6.712180982
225	6.708824853
226	6.707027305
227	6.705244412
228	6.702710456
229	6.700290362
230	6.697484095
231	6.694983385
232	6.692179324
233	6.691015866
234	6.68934764
235	6.687285918
236	6.684588379
237	6.681635143
238	6.680513417
239	6.677819179
240	6.675957161
241	6.673834002
242	6.671277198
243	6.669269004
244	6.66681458
245	6.664724873
246	6.662293518
247	6.659921762
248	6.658267933
249	6.657308754
250	6.655272968
251	6.65248157
252	6.65014092
253	6.647584206
254	6.644762202
255	6.643757659
256	6.641373352
257	6.638868593
258	6.636565319
259	6.63368636
260	6.632005176
261	6.630586498
262	6.628478848
263	6.626723979
264	6.62471175
265	6.622658107
266	6.620886362
267	6.618281353
