iter	Passed	Remaining
0	62	62188
1	68	33942
2	74	24824
3	80	19953
4	85	17017
5	90	15073
6	96	13748
7	101	12634
8	107	11845
9	113	11192
10	118	10690
11	124	10257
12	129	9851
13	135	9577
14	142	9332
15	147	9101
16	152	8839
17	157	8592
18	164	8487
19	170	8337
20	175	8195
21	181	8078
22	188	8001
23	195	7946
24	201	7842
25	205	7708
26	211	7622
27	216	7508
28	220	7399
29	226	7334
30	232	7253
31	237	7171
32	242	7096
33	248	7046
34	253	6979
35	257	6904
36	262	6832
37	267	6761
38	272	6714
39	277	6653
40	281	6592
41	287	6553
42	292	6500
43	296	6444
44	301	6403
45	306	6348
46	310	6296
47	315	6267
48	320	6219
49	325	6183
50	331	6163
51	336	6143
52	343	6138
53	348	6112
54	355	6111
55	361	6101
56	366	6068
57	371	6040
58	377	6017
59	381	5982
60	387	5960
61	392	5939
62	397	5908
63	401	5878
64	407	5854
65	411	5829
66	418	5825
67	423	5801
68	428	5775
69	432	5750
70	438	5732
71	442	5709
72	447	5687
73	453	5679
74	458	5653
75	463	5631
76	468	5613
77	473	5591
78	477	5569
79	482	5551
80	487	5526
81	491	5503
82	496	5484
83	501	5465
84	507	5460
85	512	5448
86	518	5444
87	524	5433
88	530	5425
89	535	5413
90	540	5395
91	546	5391
92	551	5378
93	556	5364
94	561	5350
95	567	5346
96	573	5337
97	577	5319
98	582	5301
99	587	5284
100	592	5272
101	596	5254
102	602	5242
103	606	5228
104	611	5214
105	616	5202
106	621	5190
107	626	5177
108	631	5160
109	636	5153
110	641	5137
111	646	5124
112	651	5110
113	655	5095
114	660	5081
115	665	5069
116	671	5064
117	676	5058
118	691	5116
119	697	5115
120	702	5104
121	707	5095
122	716	5111
123	722	5105
124	727	5095
125	738	5119
126	743	5112
127	748	5101
128	754	5091
129	759	5085
130	765	5074
131	769	5061
132	775	5057
133	784	5069
134	791	5069
135	797	5065
136	803	5063
137	809	5054
138	822	5096
139	828	5090
140	834	5082
141	842	5089
142	853	5113
143	866	5149
144	880	5194
145	897	5251
146	917	5325
147	923	5314
148	928	5302
149	934	5296
150	941	5290
151	950	5300
152	956	5295
153	961	5284
154	967	5275
155	974	5273
156	986	5298
157	994	5298
158	1011	5350
159	1036	5441
160	1044	5442
161	1051	5437
162	1058	5434
163	1064	5426
164	1083	5484
165	1092	5488
166	1097	5476
167	1105	5477
168	1111	5465
169	1118	5461
170	1134	5499
171	1142	5497
172	1147	5485
173	1153	5474
174	1158	5461
175	1181	5529
176	1189	5529
177	1195	5522
178	1202	5514
179	1213	5530
180	1222	5532
181	1229	5524
182	1236	5519
183	1259	5585
184	1269	5590
185	1277	5591
186	1286	5594
187	1299	5610
188	1308	5612
189	1317	5618
190	1325	5613
191	1333	5611
192	1348	5637
193	1354	5628
194	1361	5618
195	1366	5605
196	1372	5593
197	1380	5592
198	1387	5584
199	1403	5613
200	1409	5604
201	1424	5625
202	1430	5615
203	1438	5612
204	1444	5600
205	1452	5597
206	1461	5599
207	1471	5601
208	1488	5634
209	1510	5681
210	1517	5675
211	1523	5663
212	1531	5658
213	1536	5645
214	1542	5630
215	1547	5617
216	1565	5648
217	1574	5648
218	1580	5635
219	1585	5622
220	1593	5616
221	1599	5604
222	1610	5612
223	1616	5599
224	1622	5588
225	1638	5611
226	1644	5599
227	1653	5598
228	1670	5623
229	1678	5618
230	1685	5610
231	1703	5639
232	1709	5627
233	1716	5617
234	1723	5610
235	1737	5623
236	1743	5613
237	1750	5605
238	1757	5595
239	1774	5620
240	1785	5623
241	1792	5615
242	1807	5629
243	1813	5618
244	1818	5604
245	1825	5594
246	1830	5581
247	1839	5577
248	1844	5564
249	1854	5562
250	1876	5598
251	1899	5636
252	1906	5629
253	1912	5616
254	1917	5602
255	1932	5617
256	1941	5613
257	1950	5609
258	1956	5596
259	1961	5583
260	1967	5569
261	1972	5554
262	1979	5547
263	1985	5534
264	1990	5519
265	1998	5515
266	2004	5503
267	2010	5492
268	2016	5480
269	2022	5468
270	2028	5457
271	2034	5445
272	2040	5434
273	2046	5423
274	2052	5410
275	2058	5399
276	2063	5386
277	2069	5375
278	2075	5362
279	2080	5349
280	2085	5335
281	2090	5321
282	2096	5312
283	2102	5299
284	2108	5288
285	2114	5277
286	2120	5266
287	2125	5253
288	2132	5246
289	2137	5232
290	2142	5221
291	2149	5212
292	2154	5199
293	2160	5187
294	2165	5175
295	2170	5163
296	2177	5154
297	2182	5141
298	2188	5130
299	2193	5117
300	2201	5113
301	2207	5103
302	2214	5093
303	2219	5080
304	2225	5070
305	2231	5060
306	2238	5052
307	2245	5045
308	2250	5032
309	2256	5023
310	2264	5015
311	2275	5017
312	2281	5007
313	2288	4998
314	2295	4991
315	2303	4985
316	2311	4980
317	2317	4970
318	2322	4958
319	2327	4945
320	2332	4934
321	2339	4925
322	2344	4913
323	2349	4901
324	2353	4889
325	2359	4877
326	2365	4867
327	2370	4856
328	2376	4846
329	2381	4834
330	2385	4821
331	2390	4809
332	2394	4797
333	2400	4785
334	2404	4773
335	2410	4763
336	2415	4752
337	2420	4741
338	2428	4734
339	2435	4727
340	2441	4717
341	2446	4707
342	2451	4696
343	2456	4685
344	2462	4675
345	2467	4663
346	2474	4655
347	2478	4644
348	2485	4635
349	2490	4624
350	2495	4613
351	2501	4605
352	2506	4593
353	2511	4582
354	2516	4571
355	2521	4560
356	2525	4549
357	2533	4542
358	2538	4532
359	2544	4522
360	2549	4512
361	2554	4501
362	2558	4490
363	2564	4480
364	2569	4469
365	2575	4461
366	2580	4450
367	2584	4438
368	2590	4429
369	2594	4417
370	2599	4407
371	2605	4397
372	2610	4387
373	2614	4376
374	2620	4367
375	2627	4360
376	2632	4349
377	2638	4340
378	2643	4330
379	2647	4320
380	2654	4312
381	2659	4302
382	2665	4293
383	2670	4283
384	2676	4275
385	2681	4265
386	2687	4256
387	2692	4246
388	2696	4235
389	2703	4228
390	2708	4218
391	2714	4210
392	2720	4202
393	2725	4192
394	2731	4183
395	2736	4173
396	2741	4163
397	2747	4155
398	2752	4145
399	2758	4137
400	2763	4127
401	2767	4117
402	2773	4108
403	2778	4099
404	2783	4090
405	2790	4082
406	2796	4074
407	2802	4065
408	2807	4056
409	2812	4046
410	2817	4037
411	2822	4028
412	2827	4018
413	2832	4009
414	2838	4000
415	2843	3991
416	2848	3982
417	2854	3974
418	2865	3972
419	2871	3965
420	2877	3958
421	2884	3950
422	2889	3941
423	2904	3945
424	2909	3936
425	2916	3929
426	2921	3919
427	2929	3914
428	2935	3906
429	2944	3903
430	2951	3895
431	2957	3888
432	2964	3881
433	2971	3875
434	2978	3868
435	2983	3859
436	2989	3851
437	2994	3842
438	3004	3838
439	3009	3829
440	3019	3827
441	3025	3819
442	3030	3810
443	3036	3802
444	3041	3793
445	3047	3784
446	3053	3777
447	3059	3769
448	3064	3760
449	3071	3754
450	3077	3746
451	3090	3747
452	3096	3738
453	3102	3730
454	3107	3721
455	3113	3713
456	3119	3706
457	3123	3696
458	3130	3690
459	3136	3681
460	3141	3672
461	3146	3663
462	3151	3655
463	3157	3647
464	3163	3639
465	3167	3629
466	3173	3622
467	3178	3613
468	3183	3604
469	3189	3597
470	3194	3588
471	3199	3579
472	3205	3571
473	3211	3563
474	3215	3554
475	3221	3546
476	3225	3536
477	3230	3527
478	3235	3519
479	3240	3510
480	3245	3502
481	3251	3494
482	3257	3486
483	3262	3478
484	3269	3471
485	3274	3463
486	3280	3455
487	3285	3447
488	3290	3438
489	3297	3432
490	3304	3425
491	3309	3417
492	3314	3408
493	3319	3400
494	3325	3392
495	3330	3384
496	3335	3376
497	3341	3368
498	3347	3360
499	3351	3351
500	3357	3343
501	3363	3336
502	3367	3327
503	3375	3321
504	3380	3313
505	3385	3305
506	3390	3297
507	3395	3288
508	3400	3280
509	3405	3271
510	3409	3263
511	3414	3254
512	3419	3246
513	3424	3237
514	3429	3230
515	3434	3221
516	3439	3213
517	3444	3204
518	3449	3196
519	3454	3188
520	3459	3181
521	3465	3173
522	3471	3166
523	3478	3159
524	3484	3152
525	3490	3145
526	3496	3138
527	3502	3130
528	3506	3122
529	3513	3115
530	3518	3107
531	3523	3099
532	3529	3092
533	3534	3084
534	3539	3076
535	3545	3068
536	3549	3060
537	3555	3052
538	3560	3045
539	3565	3037
540	3570	3029
541	3577	3023
542	3582	3015
543	3587	3007
544	3593	2999
545	3600	2993
546	3605	2985
547	3610	2977
548	3618	2972
549	3624	2965
550	3629	2957
551	3634	2949
552	3640	2942
553	3646	2935
554	3651	2927
555	3656	2919
556	3660	2911
557	3666	2904
558	3671	2896
559	3677	2889
560	3682	2881
561	3688	2874
562	3694	2867
563	3701	2861
564	3712	2858
565	3718	2851
566	3724	2844
567	3729	2836
568	3734	2828
569	3740	2821
570	3746	2814
571	3751	2807
572	3756	2799
573	3761	2791
574	3766	2783
575	3771	2776
576	3776	2768
577	3780	2760
578	3786	2753
579	3790	2745
580	3797	2738
581	3801	2730
582	3807	2723
583	3812	2715
584	3818	2708
585	3822	2700
586	3827	2692
587	3834	2686
588	3839	2678
589	3844	2671
590	3848	2663
591	3853	2655
592	3857	2647
593	3862	2640
594	3867	2632
595	3871	2624
596	3877	2617
597	3881	2609
598	3886	2601
599	3890	2593
600	3896	2586
601	3902	2580
602	3907	2572
603	3913	2565
604	3918	2558
605	3923	2550
606	3928	2543
607	3934	2536
608	3940	2529
609	3945	2522
610	3951	2515
611	3957	2509
612	3963	2502
613	3969	2495
614	3974	2487
615	3979	2480
616	3986	2474
617	3992	2467
618	3997	2460
619	4003	2453
620	4009	2446
621	4015	2440
622	4020	2433
623	4026	2426
624	4031	2419
625	4037	2411
626	4042	2405
627	4048	2398
628	4053	2390
629	4058	2383
630	4068	2379
631	4074	2372
632	4079	2365
633	4086	2359
634	4093	2352
635	4098	2345
636	4103	2338
637	4109	2331
638	4114	2324
639	4119	2317
640	4123	2309
641	4128	2302
642	4133	2294
643	4138	2287
644	4143	2280
645	4147	2272
646	4153	2266
647	4160	2260
648	4166	2253
649	4174	2247
650	4181	2241
651	4187	2235
652	4193	2228
653	4199	2221
654	4207	2216
655	4213	2209
656	4218	2202
657	4226	2196
658	4232	2190
659	4238	2183
660	4245	2177
661	4252	2171
662	4257	2164
663	4262	2157
664	4267	2149
665	4272	2142
666	4277	2135
667	4283	2129
668	4292	2123
669	4297	2116
670	4303	2109
671	4308	2102
672	4313	2095
673	4319	2089
674	4324	2082
675	4329	2075
676	4336	2068
677	4343	2062
678	4348	2055
679	4355	2049
680	4361	2043
681	4368	2036
682	4373	2029
683	4378	2022
684	4384	2016
685	4389	2009
686	4395	2002
687	4401	1995
688	4406	1988
689	4412	1982
690	4418	1975
691	4422	1968
692	4429	1962
693	4434	1955
694	4439	1948
695	4446	1942
696	4451	1935
697	4457	1928
698	4462	1921
699	4467	1914
700	4473	1908
701	4478	1901
702	4483	1894
703	4488	1887
704	4493	1880
705	4498	1873
706	4503	1866
707	4509	1859
708	4513	1852
709	4519	1846
710	4524	1839
711	4530	1832
712	4536	1826
713	4541	1819
714	4546	1812
715	4552	1805
716	4558	1799
717	4567	1794
718	4573	1787
719	4578	1780
720	4584	1773
721	4589	1767
722	4598	1761
723	4604	1755
724	4609	1748
725	4614	1741
726	4619	1734
727	4624	1727
728	4630	1721
729	4635	1714
730	4642	1708
731	4647	1701
732	4652	1694
733	4659	1688
734	4664	1681
735	4668	1674
736	4676	1668
737	4681	1661
738	4688	1655
739	4694	1649
740	4700	1642
741	4705	1636
742	4711	1629
743	4718	1623
744	4724	1616
745	4730	1610
746	4736	1604
747	4742	1597
748	4749	1591
749	4755	1585
750	4761	1578
751	4767	1572
752	4772	1565
753	4780	1559
754	4785	1552
755	4792	1546
756	4797	1540
757	4803	1533
758	4808	1526
759	4815	1520
760	4820	1513
761	4826	1507
762	4832	1500
763	4837	1494
764	4846	1488
765	4853	1482
766	4859	1476
767	4870	1471
768	4875	1464
769	4881	1458
770	4889	1452
771	4895	1445
772	4901	1439
773	4906	1432
774	4911	1426
775	4917	1419
776	4923	1412
777	4927	1406
778	4936	1400
779	4941	1393
780	4946	1387
781	4952	1380
782	4956	1373
783	4962	1367
784	4970	1361
785	4975	1354
786	4983	1348
787	4988	1342
788	4993	1335
789	4999	1328
790	5003	1322
791	5010	1315
792	5015	1309
793	5025	1303
794	5029	1297
795	5035	1290
