Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q42B,Q36A,Q42C
0.6897998155176275,2,1,1,2,3,2,con,far,chp,1.0,1.5834184800920321
0.6897998155176275,2,1,1,2,3,1,pro,not,exp,1.0,-1.1190751741270153
-0.08540165397733045,2,0,0,4,3,1,con,far,chp,2.0,0.2321716529825084
-0.08540165397733045,2,1,1,4,2,1,con,far,chp,2.0,0.2321716529825084
-0.8606031234722884,2,0,0,4,2,1,con,gu,chp,1.0,-0.21824395605399952
-0.08540165397733045,2,0,0,2,1,1,con,far,chp,0.0,0.2321716529825084
-1.6358045929672465,2,1,1,4,2,2,con,far,chp,0.0,0.6825872620190163
0.6897998155176275,2,0,0,5,3,2,neu,dong,chp,2.0,-0.4434517605722535
0.6897998155176275,0,2,2,1,3,1,neu,gu,chp,0.0,-0.21824395605399952
-0.08540165397733045,0,2,0,5,3,2,neu,not,exp,0.0,-1.1190751741270153
-0.8606031234722884,2,1,1,4,2,1,neu,gu,chp,1.0,-0.21824395605399952
-0.8606031234722884,2,0,0,3,1,1,con,not,exp,0.0,-1.1190751741270153
-0.08540165397733045,2,2,0,5,3,2,pro,gu,exp,1.0,-0.4434517605722535
0.30219908077014856,2,0,2,4,1,2,neu,gu,chp,2.0,-0.21824395605399952
1.0774005502651065,2,1,0,5,3,1,neu,dong,chp,2.0,-0.6686595650905075
-0.08540165397733045,2,1,1,5,2,1,con,not,exp,2.0,-1.1190751741270153
-1.6358045929672465,0,2,2,4,2,2,con,gu,chp,0.0,-0.21824395605399952
-1.6358045929672465,0,0,0,1,1,1,con,far,chp,0.0,0.2321716529825084
1.4650012850125855,2,1,0,5,3,2,pro,far,exp,0.0,-0.21824395605399952
0.6897998155176275,2,2,2,2,2,2,pro,far,exp,0.0,-0.21824395605399952
-0.08540165397733045,2,1,1,1,1,2,con,not,exp,0.0,-1.1190751741270153
0.6897998155176275,2,1,1,4,2,2,neu,not,exp,0.0,-1.1190751741270153
-0.8606031234722884,2,1,1,2,4,1,neu,gu,chp,0.0,-0.4434517605722535
-0.08540165397733045,0,1,2,2,2,1,neu,gu,chp,0.0,-0.21824395605399952
-0.8606031234722884,0,2,2,4,4,1,con,gu,exp,2.0,-0.3984101996686027
-0.08540165397733045,2,2,1,5,4,2,neu,gu,chp,0.0,0.2321716529825084
