,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
0,0,3,0,3,3,1,1,2,1,1
1,2,3,0,3,3,0,0,0,1,2
2,2,3,0,3,2,2,1,2,1,1
3,2,3,0,3,3,0,0,0,0,1
4,2,3,0,3,2,0,0,0,1,1
5,2,3,0,3,2,2,1,2,1,2
6,2,3,0,3,2,2,1,1,1,2
7,0,2,3,3,3,1,1,1,1,1
8,0,2,2,3,1,1,1,3,2,1
9,0,3,0,3,2,0,0,0,1,1
10,2,2,2,3,2,0,0,0,1,2
11,2,3,0,3,3,0,0,0,0,2
12,0,2,2,3,2,2,1,2,1,1
13,2,1,3,3,2,2,1,3,1,2
14,0,2,2,3,3,1,1,2,1,2
15,0,3,0,3,3,0,0,0,1,2
16,2,3,0,3,3,2,1,3,0,1
17,2,3,0,3,3,2,1,2,1,2
18,0,2,3,3,3,1,1,2,2,2
19,0,3,0,3,3,1,1,3,2,2
20,0,3,0,3,2,0,0,0,2,1
21,2,3,0,3,2,0,0,0,1,2
22,2,3,0,3,2,1,1,2,1,2
23,0,2,2,3,2,0,0,0,2,2
24,1,3,0,3,2,2,1,2,0,0
25,0,3,0,2,1,2,1,2,2,1
26,2,2,2,2,2,0,0,0,2,2
27,2,2,2,2,2,2,1,3,2,2
28,0,2,3,2,1,2,1,3,2,2
29,2,2,3,2,2,2,1,2,2,2
30,0,2,3,2,2,2,1,3,1,2
31,0,3,0,3,3,2,1,3,1,1
32,2,2,2,3,3,2,1,2,2,1
33,2,2,2,3,3,2,1,3,2,2
34,2,2,2,3,3,2,1,3,2,2
35,2,2,3,3,2,2,1,3,2,1
36,2,2,3,3,3,2,1,2,2,2
37,0,1,2,2,2,2,1,2,2,1
38,0,3,0,2,1,2,1,2,2,2
39,0,3,0,3,3,2,1,3,2,2
40,2,3,0,2,2,2,1,2,1,2
41,0,2,3,2,2,2,1,3,1,1
42,2,2,2,2,1,2,1,3,0,2
43,2,3,0,3,2,0,0,0,1,1
44,2,2,2,3,2,2,1,2,1,2
45,2,3,0,3,2,2,1,2,1,2
46,2,3,0,3,3,2,1,2,1,2
47,1,1,3,3,3,2,1,2,0,0
48,0,3,0,3,3,2,1,2,0,0
49,2,2,2,2,1,2,1,2,2,2
50,2,3,0,2,1,2,1,2,1,2
51,2,3,0,2,1,2,1,2,1,2
52,2,3,0,3,2,0,0,0,0,0
53,0,3,0,3,3,2,1,3,0,0
54,2,2,2,3,2,0,0,0,0,1
55,2,2,3,3,2,2,1,2,0,2
56,2,2,2,3,1,0,0,0,1,1
57,0,2,3,2,1,0,0,0,1,2
58,2,2,3,3,2,2,1,2,1,2
59,0,2,2,3,2,2,1,3,1,2
60,0,3,0,3,3,2,1,2,0,1
61,2,3,0,3,3,1,1,3,1,1
62,0,2,2,3,2,0,0,0,1,2
63,2,2,3,3,2,2,1,3,0,2
64,2,3,0,3,2,2,1,3,0,2
65,0,1,2,3,0,2,1,2,0,1
66,1,2,1,3,2,2,1,3,2,2
67,1,3,0,3,0,0,0,0,0,0
68,1,3,0,3,1,0,0,0,2,0
69,0,3,0,3,3,1,1,3,2,0
70,1,3,0,3,2,2,1,3,2,2
71,1,3,0,3,3,0,0,0,1,1
72,1,3,0,3,2,1,1,3,1,2
73,0,3,0,3,2,2,1,3,2,0
74,0,3,0,3,2,2,1,2,0,2
75,0,2,3,3,0,0,0,0,1,2
76,0,3,0,3,3,2,1,3,0,2
77,0,3,0,3,3,1,1,3,0,2
78,2,3,0,3,1,0,0,0,0,1
79,2,3,0,3,2,0,0,0,0,1
80,2,3,0,2,0,0,0,0,2,0
81,2,2,3,3,3,2,1,2,0,1
82,0,3,0,3,0,0,0,0,2,0
83,0,3,0,0,1,1,1,3,0,2
84,2,3,0,2,2,2,1,2,0,2
85,2,3,0,3,3,0,0,0,2,2
86,0,3,0,1,1,1,1,3,0,2
87,2,3,0,3,3,2,1,3,0,1
88,0,3,0,3,2,2,1,3,0,2
89,0,3,0,3,0,1,1,1,2,0
90,1,3,0,3,1,0,0,0,2,0
91,2,3,0,3,3,2,1,2,1,1
92,2,3,0,3,3,2,1,3,0,0
93,2,3,0,3,2,2,1,2,0,2
94,2,3,0,3,3,2,1,3,0,2
95,0,1,3,3,1,0,0,0,0,2
96,0,3,0,3,0,0,0,0,2,1
97,2,3,0,2,1,3,1,2,1,1
98,2,3,0,3,1,1,1,3,2,1
99,2,3,0,3,3,0,0,0,0,2
100,0,3,0,3,1,3,1,1,2,0
101,2,3,0,0,0,1,1,1,1,0
102,2,3,0,3,1,0,0,0,0,1
103,0,3,0,3,3,2,1,2,0,2
104,2,3,0,3,2,2,1,3,0,1
105,0,1,3,3,3,2,1,3,0,2
106,0,3,0,3,1,0,0,0,0,0
107,2,3,0,3,1,2,1,2,0,1
108,0,1,2,3,3,0,0,0,0,2
109,2,3,0,3,2,0,0,0,1,1
110,2,1,3,3,0,0,0,0,1,1
111,0,3,0,3,3,1,1,3,1,2
112,2,3,0,3,2,1,1,2,0,1
113,2,1,3,2,0,0,0,0,0,1
114,0,3,0,3,3,2,1,2,0,1
115,1,3,0,3,1,2,1,3,0,2
116,0,3,0,3,3,2,1,3,0,1
117,1,3,0,3,1,0,0,0,2,1
118,2,3,0,3,2,0,0,0,2,1
119,1,3,0,3,3,2,1,3,0,2
120,0,3,0,3,1,1,1,2,0,0
121,1,3,0,3,0,0,0,0,0,1
122,1,3,0,2,0,3,2,1,2,0
123,1,3,0,1,2,2,1,1,1,1
124,1,3,0,2,3,0,0,0,0,0
125,2,3,0,3,3,2,1,2,1,1
126,1,3,0,2,1,2,1,2,0,1
127,0,3,0,3,2,0,0,0,0,1
128,2,3,0,3,2,0,0,0,0,1
129,2,3,0,3,2,0,0,0,2,1
130,2,3,0,3,0,2,1,2,0,1
131,2,3,0,3,0,2,1,3,2,2
132,0,3,0,3,2,0,0,0,2,1
133,0,3,0,3,2,2,1,2,0,2
134,0,3,0,3,2,0,0,0,0,1
135,2,3,0,3,0,2,1,3,0,1
136,0,3,0,3,2,0,0,0,1,2
137,0,3,0,3,2,0,0,0,0,1
138,0,3,0,3,0,0,0,0,0,0
139,2,1,2,1,0,2,1,1,0,0
140,2,3,0,3,2,3,1,3,2,2
141,2,3,0,0,2,2,1,3,0,1
142,0,3,0,3,1,0,0,0,2,1
143,0,3,0,2,2,0,0,0,0,1
144,0,1,2,3,2,2,1,2,0,1
145,1,3,0,3,2,1,1,2,2,2
146,1,3,0,2,1,3,2,2,0,1
147,2,3,0,3,3,1,1,3,2,2
148,0,3,0,3,2,2,1,2,0,0
149,1,3,0,3,1,2,1,1,1,0
150,0,3,0,2,2,2,1,1,0,1
151,0,3,0,2,1,2,1,2,0,1
152,1,3,0,2,0,0,0,0,0,0
153,1,3,0,2,3,1,1,1,1,1
154,0,3,0,3,2,2,1,3,0,1
155,1,3,0,3,0,1,1,3,2,2
156,1,3,0,3,0,0,0,0,2,1
157,1,3,0,3,0,0,0,0,2,2
158,0,3,0,3,3,2,1,3,1,2
159,0,3,0,3,3,2,1,3,1,1
160,1,3,0,3,2,0,0,0,0,1
161,0,3,0,3,3,0,0,0,0,1
162,2,3,0,3,3,0,0,0,0,2
163,0,3,0,2,3,0,0,0,0,1
164,2,2,2,3,1,2,1,2,0,2
165,2,3,0,3,3,2,1,1,0,2
166,2,2,2,3,3,3,2,2,0,1
167,2,3,0,3,2,0,0,0,1,0
168,0,3,0,3,3,2,1,2,1,1
169,2,3,0,3,3,2,1,3,1,1
170,2,3,0,2,3,0,0,0,1,1
171,2,1,2,3,3,0,0,0,1,2
172,0,3,0,3,2,2,1,3,1,1
173,2,3,0,3,3,2,1,2,1,0
174,0,3,0,2,2,2,1,3,1,0
175,0,3,0,2,2,2,1,2,1,1
176,2,3,0,3,3,2,1,2,1,1
177,2,3,0,3,3,2,1,2,0,0
178,0,3,0,2,2,2,1,3,1,0
179,2,3,0,3,3,0,0,0,0,2
180,2,2,2,3,2,1,1,3,0,2
181,2,3,0,3,2,0,0,0,1,0
182,0,3,0,3,3,2,1,3,0,1
183,0,3,0,2,2,2,1,2,0,2
184,2,3,0,3,3,3,2,1,0,1
185,2,3,0,3,3,0,0,0,0,2
186,2,3,0,3,3,2,1,2,0,1
187,2,3,0,3,3,0,0,0,0,2
188,2,3,0,3,3,0,0,0,0,1
189,2,3,0,3,3,3,1,2,0,2
190,2,2,2,3,3,2,1,3,0,2
191,2,3,0,3,3,1,1,3,0,2
192,2,3,0,3,3,2,1,1,0,2
193,2,3,0,3,3,0,0,0,0,1
194,2,3,0,3,3,2,1,1,0,1
195,2,2,2,3,3,0,0,0,0,2
196,2,3,0,3,3,3,1,2,1,1
197,2,3,0,3,3,0,0,0,1,1
198,2,2,2,3,3,2,1,3,0,2
199,2,3,0,3,3,0,0,0,0,2
200,2,3,0,3,2,1,1,2,0,2
201,2,3,0,3,3,1,1,2,0,2
202,2,1,2,3,3,0,0,0,0,2
203,2,3,0,3,2,2,1,2,1,1
204,2,3,0,3,3,3,2,2,0,1
205,2,3,0,3,3,2,1,2,0,2
206,2,3,0,3,3,2,1,2,0,1
207,2,3,0,3,3,2,1,2,0,2
208,2,3,0,3,3,0,0,0,0,2
209,2,3,0,3,3,3,2,1,0,2
210,2,3,0,3,3,1,1,2,0,2
211,2,3,0,3,3,3,1,3,2,0
212,2,3,0,3,3,2,1,2,0,2
