,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
0,1,0,1,1,2,2,0,1,2,3
1,1,0,2,1,2,2,0,1,4,4
2,1,0,2,2,2,0,1,1,3,1
3,1,0,2,2,2,0,1,1,3,4
4,1,0,1,2,2,0,0,1,3,4
5,1,0,2,1,2,1,0,1,3,3
6,1,0,1,1,2,1,1,1,3,3
7,1,0,2,1,0,1,0,1,4,3
8,1,0,1,4,0,1,1,1,4,3
9,1,0,2,1,2,0,1,1,3,4
10,1,0,2,2,2,0,0,1,3,4
11,1,1,2,4,2,2,0,1,3,4
12,1,0,2,1,0,0,1,1,3,1
13,1,0,1,1,0,0,1,1,3,1
14,1,0,1,1,0,2,1,1,4,3
15,1,0,2,1,0,2,0,1,4,4
16,1,0,1,1,2,1,1,1,2,3
17,1,0,2,1,2,0,1,1,2,1
18,1,0,1,1,0,1,1,1,3,3
19,1,0,2,1,0,1,1,1,3,3
20,1,0,2,1,1,2,0,1,3,4
21,1,0,1,1,1,2,1,1,3,4
22,1,0,2,1,2,1,0,1,3,3
23,1,0,2,2,2,0,0,1,3,4
24,1,0,1,1,0,1,0,1,3,3
25,1,0,2,4,0,1,1,1,2,3
26,1,0,2,1,2,1,1,1,4,4
27,1,0,1,2,2,0,1,1,5,3
28,1,0,1,1,2,1,1,1,5,1
29,1,0,2,1,2,1,0,1,5,3
30,1,0,2,2,2,0,1,1,5,1
31,1,0,1,1,0,2,1,1,4,3
32,1,0,1,1,2,0,1,1,4,1
33,1,0,2,1,2,0,1,1,4,1
34,1,0,1,1,0,0,1,1,5,1
35,1,0,2,1,2,0,1,1,5,1
36,1,0,1,1,2,0,1,1,5,1
37,0,0,1,2,0,0,0,1,4,3
38,1,0,1,4,2,1,1,1,4,1
39,1,0,2,2,0,0,1,1,2,1
40,1,0,2,1,0,0,1,1,3,3
41,1,0,1,1,2,1,1,1,3,1
42,1,0,2,1,2,1,1,1,3,1
43,1,1,2,4,0,2,0,1,2,4
44,1,0,1,1,2,2,1,1,2,3
45,1,0,2,1,2,1,1,1,2,1
46,1,0,2,2,2,0,1,1,2,3
47,1,0,2,3,0,1,1,1,3,1
48,1,0,2,2,0,0,1,1,3,3
49,1,0,1,1,2,1,0,1,2,3
50,1,0,2,1,2,1,1,1,2,1
51,1,0,1,2,2,0,1,1,3,3
52,1,0,2,1,0,0,0,1,3,4
53,1,0,1,1,0,0,1,1,3,3
