"","Q20","Q21A","Q24B"
"1",0,1,"0"
"2",0,0,"1"
"3",1,0,"0"
"4",1,0,"5"
"5",0,0,"0"
"6",1,0,"0"
"7",1,1,"0"
"8",0,1,"0"
"9",0,1,"0"
"10",1,0,"1"
"11",0,1,"0"
"12",0,1,"0"
"13",0,1,"0"
"14",0,1,"0"
"15",0,1,"0"
"16",0,1,"0"
"17",0,1,"0"
"18",0,1,"0"
"19",0,1,"0"
"20",1,1,"0"
"21",1,0,"0"
"22",1,1,"0"
"23",1,0,"1"
"24",0,1,"0"
"25",0,1,"0"
"26",0,1,"0"
"27",0,1,"0"
"28",1,0,"0"
"29",1,0,"1"
"30",1,1,"3"
"31",0,0,"4"
"32",0,0,"0"
"33",1,0,"2"
"34",1,0,"1"
"35",0,1,"0"
"36",0,1,"0"
"37",0,1,"0"
"38",0,0,"1"
"39",1,0,"1"
"40",0,0,"1"
"41",1,0,"0"
"42",0,0,"1"
"43",0,0,"1"
"44",1,0,"0"
"45",1,0,"0"
"46",1,0,"0"
"47",1,0,"2"
"48",0,0,"1"
"49",1,0,"0"
"50",0,0,"0"
"51",1,0,"5"
"52",0,0,"0"
"53",1,0,"2"
"54",0,0,"1"
"55",0,0,"1"
"56",1,0,"0"
"57",1,0,"1"
"58",1,0,"0"
"59",1,0,"0"
"60",1,0,"0"
"61",0,0,"1"
"62",0,0,"1"
"63",1,1,"1"
"64",1,0,"0"
"65",1,0,"1"
"66",1,0,"0"
"67",0,0,"1"
"68",0,1,"1"
"69",0,0,"1"
"70",1,0,"5"
"71",0,1,"0"
"72",0,0,"0"
"73",1,0,"4"
"74",0,0,"0"
"75",0,0,"4"
"76",1,0,"1"
"77",1,0,"1"
"78",0,0,"1"
"79",1,0,"0"
"80",0,0,"0"
"81",0,0,"0"
"82",1,0,"2"
"83",0,1,"0"
"84",1,0,"0"
"85",0,1,"5"
"86",0,0,"2"
"87",1,0,"1"
"88",0,0,"1"
"89",0,1,"5"
"90",0,0,"0"
"91",0,0,"2"
"92",0,0,"0"
"93",0,1,"1"
"94",0,0,"1"
"95",0,0,"0"
"96",1,0,"3"
"97",0,0,"3"
"98",0,1,"0"
"99",0,1,"1"
"100",1,0,"1"
"101",0,0,"0"
"102",0,1,"1"
