,Q1,Q2B,Q3,Q6A3,Q6A6,Q6A8,Q6A9,Q6A11,Q8,Q9,Q11,Q12B1,Q12E1,Q12F1,Q13,Q15,Q17A1,Q18,Q20,Q21A,Q24B,Q28,Q32A4,Q34,Q37,Q40,Q41,Q42A,Q43,Q44A,Q45A3,Q47,Q47C,Q48,Q49,FAM1,MAR,DE2,DE3,DE7,DE8,DE9
0,1,3,2,4,2,3,4,2,3,2,3,1,0,1,2,2,1,1,0,1,0,3.0,1.5,70,2,1,1,2,0,0,2,2,2,1,2,1,1,1,1,1,3,3
1,1,6,1,4,4,4,4,4,3,2,3,0,0,1,2,2,0,1,0,0,1,3.0,1.5,80,0,1,2,2,2,0,3,1,2,1,1,1,1,1,0,1,3,3
2,0,6,2,4,4,4,4,4,2,2,3,1,0,1,3,2,0,1,1,0,0,4.5,3.0,70,0,2,1,2,0,0,3,1,2,2,1,1,1,2,0,1,3,3
3,0,4,2,4,4,4,4,4,2,2,4,0,0,1,4,3,1,0,1,0,5,1.5,1.5,70,1,2,1,2,0,2,3,2,2,2,2,1,2,0,1,1,3,1
4,1,4,1,4,4,4,4,4,3,3,4,1,0,1,3,3,0,1,0,0,0,4.5,1.5,70,0,1,3,2,0,2,3,2,2,2,1,1,1,0,0,1,2,3
5,1,4,2,4,4,3,4,4,3,3,3,1,0,1,2,3,1,1,1,0,0,4.5,1.5,80,2,2,2,2,0,2,2,1,3,1,1,1,1,0,1,1,3,3
6,1,4,2,3,4,4,4,4,3,2,4,1,0,1,4,4,0,1,1,1,0,3.0,1.5,85,0,2,3,4,0,0,3,0,0,1,1,1,1,0,1,1,3,4
7,1,3,2,4,2,2,4,2,3,2,3,1,0,1,3,2,1,1,0,1,0,3.0,1.5,60,2,1,1,3,2,3,2,2,2,1,2,1,1,1,1,1,3,3
8,1,4,2,4,2,3,4,2,2,2,3,0,1,1,2,2,1,1,0,1,0,4.5,1.5,60,0,1,1,3,2,3,3,2,2,1,2,1,1,1,1,1,3,1
9,0,6,1,3,4,4,4,4,3,2,4,1,0,1,4,3,0,1,1,0,1,3.0,3.0,60,1,2,2,2,0,0,3,1,1,1,2,1,1,1,1,1,3,1
10,1,6,2,3,4,2,4,3,4,3,3,0,0,1,4,3,0,1,0,1,0,4.5,3.0,60,0,2,1,2,1,0,2,2,3,0,0,1,1,1,0,1,3,1
11,1,4,2,4,4,4,4,4,2,3,3,1,1,1,3,3,1,1,0,1,0,4.5,3.0,85,0,2,2,3,0,0,1,2,3,0,2,1,2,0,1,1,2,1
12,1,4,2,4,4,4,4,4,2,2,4,0,0,1,2,2,0,1,0,1,0,1.5,1.5,60,0,2,2,3,0,2,2,2,2,2,1,1,2,0,1,1,5,3
13,1,4,2,4,4,4,4,4,2,3,4,0,1,1,2,2,1,1,0,1,0,1.5,3.0,60,2,1,2,3,2,2,2,2,3,2,2,1,1,1,1,1,4,1
14,1,4,1,4,2,2,4,2,2,2,4,0,0,1,2,2,1,1,0,1,0,1.5,1.5,80,0,1,2,3,2,3,2,0,0,2,1,1,2,0,1,1,5,4
15,1,4,2,4,4,4,4,4,2,2,4,0,1,1,4,3,0,1,0,1,0,1.5,1.5,50,2,1,1,3,0,0,1,2,2,2,1,1,2,0,1,1,4,1
16,1,4,2,4,4,4,4,4,2,2,4,0,1,1,3,3,1,1,0,1,0,1.5,1.5,50,0,1,2,3,0,0,1,2,2,2,1,1,2,0,1,1,5,1
17,1,3,2,4,4,4,4,4,2,2,4,0,1,1,3,2,1,1,0,1,0,1.5,3.0,60,0,1,1,4,2,0,2,0,0,2,2,1,1,1,0,1,4,4
18,1,4,1,4,4,4,4,4,2,3,4,0,0,1,2,2,1,1,0,1,0,1.5,1.5,60,2,2,1,3,2,2,3,2,2,1,1,1,1,0,1,1,5,1
19,1,3,2,2,3,4,4,4,2,2,3,1,0,1,3,3,0,0,1,1,0,4.5,3.0,80,2,1,2,2,0,0,3,2,1,1,2,0,2,0,1,1,3,1
20,0,3,2,4,4,4,4,4,3,2,3,1,0,1,3,3,0,1,1,0,0,3.0,4.5,70,1,1,2,2,2,0,2,2,3,2,2,1,2,0,1,1,3,1
21,1,6,2,4,4,4,4,4,2,3,3,0,0,1,3,3,0,1,1,1,0,3.0,1.5,86,0,1,3,2,0,3,3,2,3,1,2,1,1,0,0,1,4,1
22,0,6,1,3,3,4,3,4,3,2,3,0,1,1,4,3,0,1,1,0,1,3.0,1.5,70,2,2,2,2,0,0,2,2,3,1,1,1,1,1,1,1,3,3
23,1,3,2,4,2,2,4,2,2,2,3,1,0,1,3,2,1,1,0,1,0,4.5,1.5,60,2,1,1,3,2,2,2,2,2,1,2,1,1,1,1,1,3,3
24,1,3,1,3,2,3,4,2,3,2,4,0,1,1,2,2,1,1,0,1,0,1.5,1.5,50,0,1,2,2,2,0,2,2,3,1,2,1,2,0,1,1,3,1
25,1,3,2,4,2,3,4,2,3,2,3,1,0,1,3,2,1,1,0,1,0,4.5,1.5,50,0,1,1,2,2,3,3,2,2,0,1,1,1,1,1,1,3,1
