,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
0,0,3,0,3,2,2,1,2,1,2
1,2,3,0,3,3,1,1,2,1,1
2,0,3,0,3,3,1,1,2,2,1
3,0,2,2,3,3,2,1,2,2,2
4,0,2,2,3,3,2,1,2,2,1
5,0,2,2,2,2,1,1,3,1,1
6,0,3,0,3,3,0,0,0,1,1
7,2,2,3,3,2,2,1,2,1,2
8,2,2,3,3,3,2,1,2,1,2
9,0,3,0,3,3,1,1,1,1,2
10,1,3,0,2,2,2,1,3,0,0
11,0,3,0,2,1,2,1,3,0,2
12,0,2,2,2,2,2,1,2,2,1
13,2,2,2,2,2,2,1,3,2,2
14,2,2,3,2,2,0,0,0,2,1
15,0,3,0,2,1,2,1,2,2,1
16,0,3,0,2,1,2,1,2,2,1
17,2,3,0,2,2,0,0,0,2,2
18,2,2,2,3,3,2,1,2,1,1
19,0,3,0,2,3,2,1,1,1,2
20,2,3,0,2,2,2,1,3,2,2
21,0,2,3,3,3,2,1,3,1,2
22,0,3,0,2,2,2,1,3,1,1
23,2,2,2,3,2,2,1,2,1,2
24,2,3,0,3,2,2,1,3,1,2
25,2,2,3,3,3,2,1,2,0,1
26,0,2,2,3,1,2,1,3,0,2
27,0,3,0,3,3,3,1,2,2,2
28,2,3,0,3,3,1,1,2,1,1
29,0,3,0,3,2,0,0,0,0,1
30,0,3,0,2,2,2,1,2,0,1
31,2,1,3,3,2,1,1,1,2,2
32,0,3,0,3,3,3,1,2,2,1
33,0,3,0,3,3,0,0,0,1,1
34,2,2,3,3,3,0,0,0,0,1
35,2,3,0,3,2,0,0,0,0,1
36,2,3,0,3,2,0,0,0,0,2
37,0,3,0,3,3,0,0,0,0,1
38,1,3,0,3,1,2,1,1,2,0
39,0,3,0,3,1,2,1,2,0,0
40,1,2,3,2,2,3,2,3,2,1
41,0,3,0,3,3,1,1,3,1,1
42,0,3,0,0,3,2,1,3,0,2
43,2,3,0,3,0,2,1,3,2,1
44,2,2,2,3,0,0,0,0,0,2
45,0,3,0,3,2,2,1,3,1,2
46,2,3,0,3,0,0,0,0,2,0
47,2,3,0,2,3,2,1,3,0,2
48,2,3,0,3,3,0,0,0,0,2
49,2,3,0,3,3,2,1,3,0,2
50,2,3,0,3,2,0,0,0,0,0
51,1,3,0,3,3,2,1,3,0,1
52,2,3,0,3,1,1,1,3,2,2
53,2,1,3,3,2,0,0,0,0,1
54,0,3,0,2,2,3,1,2,2,1
55,2,3,0,3,1,3,1,2,0,1
56,2,3,0,3,3,1,1,3,2,2
57,2,3,0,3,3,2,1,3,0,1
58,0,3,0,3,2,0,0,0,2,1
