,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
0,1,0,1,1,2,1,1,1,3,3
1,1,0,2,1,2,1,0,1,3,3
2,1,0,1,1,0,2,0,1,3,3
3,1,0,2,2,0,0,1,1,3,1
4,1,0,1,1,2,0,0,1,2,3
5,1,0,1,1,2,0,1,1,3,3
6,1,0,2,1,2,0,1,1,3,4
7,1,0,1,1,2,1,1,1,3,3
8,1,0,2,1,2,1,1,1,3,1
9,1,0,1,1,2,1,1,1,3,1
10,1,0,2,1,0,1,0,1,3,1
11,1,0,2,2,0,0,1,1,2,1
12,1,0,2,2,2,0,1,1,5,3
13,1,0,1,1,2,1,1,1,4,1
14,1,0,2,2,2,0,1,1,5,4
15,1,0,2,2,0,0,1,1,4,1
16,1,0,1,2,0,0,1,1,5,1
17,1,0,2,1,0,1,0,1,4,4
18,1,0,2,1,0,0,1,1,5,1
19,0,0,2,2,1,0,1,1,3,1
20,1,0,2,2,0,0,1,1,3,1
21,1,0,1,1,0,0,0,1,4,1
22,1,0,2,1,2,1,1,1,3,3
23,1,0,1,1,2,1,1,1,3,3
24,1,0,2,2,2,0,1,1,3,1
25,1,0,2,1,2,1,1,1,3,1
26,1,0,2,2,2,0,1,1,2,1
27,1,0,2,1,0,1,0,1,3,3
28,1,0,1,1,1,1,1,1,4,3
29,1,0,2,2,0,0,1,1,4,4
30,1,0,2,1,2,1,0,1,4,4
31,1,0,1,1,2,1,1,1,3,3
32,1,0,1,1,0,2,1,1,3,3
33,1,0,2,1,0,2,0,1,3,4
34,1,0,2,1,2,0,1,1,3,4
35,1,0,1,2,2,0,0,1,2,4
36,1,0,2,1,2,0,0,1,2,4
37,1,0,2,1,0,1,0,1,3,4
38,0,0,1,2,0,0,1,1,3,3
39,1,0,1,1,0,0,0,1,3,1
40,0,0,2,3,0,2,0,1,3,3
41,1,0,1,1,2,1,1,1,3,1
42,1,0,2,1,2,0,1,1,3,1
43,1,0,1,1,0,1,1,1,2,1
44,1,0,1,2,0,0,0,1,3,4
45,1,0,1,2,0,1,1,1,3,1
46,0,0,2,3,0,2,0,1,5,4
47,1,0,1,1,2,0,1,1,2,1
48,1,0,1,1,2,1,0,1,2,4
49,1,0,2,2,2,0,1,1,3,1
50,1,0,1,1,0,2,0,1,3,4
51,1,0,2,1,0,0,1,1,3,1
52,1,0,1,1,0,2,0,1,3,3
53,1,0,1,2,0,0,1,1,3,4
54,1,0,2,1,2,1,0,1,2,3
55,1,0,2,2,2,0,1,1,3,1
56,1,0,1,1,2,1,0,1,2,3
57,1,0,2,1,2,1,1,1,2,3
58,1,0,2,1,2,1,1,1,4,4
59,1,0,2,1,2,1,0,1,4,3
60,1,0,2,2,2,0,0,1,4,4
61,1,0,1,1,2,0,0,1,3,3
62,1,0,1,2,2,0,1,1,3,4
63,0,0,2,2,1,1,1,1,2,3
64,1,0,2,2,2,0,0,1,4,4
65,1,0,2,4,0,1,0,1,3,3
66,1,0,2,2,0,0,1,1,3,1
67,1,0,1,2,0,0,1,1,3,1
68,1,0,1,1,2,0,0,1,4,3
69,1,0,2,1,1,2,0,1,3,4
70,1,0,2,1,2,0,0,1,1,1
71,1,0,1,1,2,0,0,1,2,3
72,1,0,2,4,0,1,1,1,4,3
73,1,0,2,2,0,0,1,1,3,1
74,1,0,1,1,2,1,0,1,4,3
75,0,0,1,2,2,0,1,1,4,3
76,1,0,2,1,0,0,0,1,3,3
77,1,0,2,1,2,0,1,1,4,3
78,0,0,2,2,0,0,0,1,2,3
79,1,0,1,2,1,0,1,1,3,3
80,1,0,2,2,1,0,1,1,2,1
81,1,0,2,1,2,2,0,1,4,4
82,1,0,2,2,0,0,1,1,2,1
83,1,0,1,2,0,0,1,1,3,4
84,1,0,1,1,2,1,1,1,3,1
85,1,0,2,1,2,0,0,1,3,4
86,1,0,2,1,1,1,1,1,2,1
87,1,0,2,1,0,0,1,1,3,4
88,1,0,2,2,2,0,1,1,3,1
89,1,0,1,1,2,2,1,1,1,1
90,1,0,2,1,1,1,1,1,2,4
91,1,0,1,1,2,1,1,1,2,3
92,1,0,1,1,0,0,1,1,3,1
93,1,0,1,1,2,0,1,1,3,3
94,1,0,2,1,0,0,1,1,3,3
95,1,0,1,1,2,1,1,1,2,1
96,1,0,2,1,2,1,1,1,2,4
97,1,0,2,1,0,1,0,1,3,3
98,1,0,1,1,2,0,1,1,3,3
99,1,0,1,1,2,0,1,1,2,1
100,1,0,2,1,2,0,1,1,3,3
101,1,0,1,1,0,1,1,1,3,1
